timestamp,gx,gy,gz,ax,ay,az
1532807531.0,42.0,44.0,-70.0,-2203.0,-418.0,16701.0
1532817531.0,22.0,30.0,-73.0,-2210.0,-435.0,16694.0
1532827531.0,13.0,12.0,-73.0,-2144.0,-466.0,16648.0
1532837531.0,34.0,14.0,-64.0,-2127.0,-426.0,16761.0
1532847531.0,17.0,24.0,-50.0,-2146.0,-430.0,16755.0
1532857531.0,-9.0,29.0,-48.0,-2149.0,-449.0,16684.0
1532867531.0,-1.0,16.0,-50.0,-2139.0,-441.0,16736.0
1532877531.0,20.0,-8.0,-59.0,-2115.0,-465.0,16786.0
1532887531.0,32.0,-9.0,-77.0,-2123.0,-429.0,16748.0
1532897531.0,25.0,0.0,-80.0,-2155.0,-397.0,16725.0
1532907531.0,-8.0,0.0,-83.0,-2190.0,-472.0,16745.0
1532917531.0,-32.0,1.0,-93.0,-2163.0,-496.0,16716.0
1532927531.0,-11.0,-17.0,-78.0,-2138.0,-497.0,16696.0
1532937531.0,-8.0,-31.0,-65.0,-2115.0,-517.0,16730.0
1532947531.0,26.0,-18.0,-60.0,-2130.0,-485.0,16757.0
1532957531.0,70.0,-11.0,-57.0,-2187.0,-380.0,16690.0
1532967531.0,31.0,-18.0,-59.0,-2178.0,-296.0,16711.0
1532977531.0,-44.0,-30.0,-52.0,-2152.0,-384.0,16711.0
1532987531.0,-82.0,-35.0,-54.0,-2092.0,-517.0,16701.0
1532997531.0,-37.0,12.0,-54.0,-2134.0,-486.0,16673.0
1533007531.0,6.0,47.0,-52.0,-2171.0,-479.0,16680.0
1533017531.0,-30.0,3.0,-48.0,-2161.0,-472.0,16683.0
1533027531.0,34.0,-6.0,-44.0,-2157.0,-430.0,16762.0
1533037531.0,24.0,1.0,-46.0,-2153.0,-388.0,16729.0
1533047531.0,1.0,-2.0,-51.0,-2170.0,-379.0,16669.0
1533057531.0,-8.0,2.0,-50.0,-2166.0,-443.0,16690.0
